Word;Count;Sentiment Label
learning;47;POSITIVE
new;61;POSITIVE
content;3;POSITIVE
extremely;29;POSITIVE
detailed;2;POSITIVE
training;15;POSITIVE
relaxed;2;POSITIVE
atmosphere;24;POSITIVE
competitive;22;POSITIVE
comp;3;POSITIVE
flat;8;POSITIVE
org;2;POSITIVE
provides;2;POSITIVE
lot;121;POSITIVE
experience;50;POSITIVE
junior;2;POSITIVE
team;130;POSITIVE
members;11;POSITIVE
fintech;15;POSITIVE
space;14;POSITIVE
booming;2;POSITIVE
remote;32;POSITIVE
work;302;POSITIVE
offers;6;POSITIVE
health;4;POSITIVE
insurance;9;POSITIVE
day;63;POSITIVE
1;26;POSITIVE
worked;14;POSITIVE
smart;85;POSITIVE
passionate;21;POSITIVE
people;268;POSITIVE
bunch;5;POSITIVE
go;9;POSITIVE
get;81;POSITIVE
ems;2;POSITIVE
doers;2;POSITIVE
really;73;POSITIVE
reliable;2;POSITIVE
everyone;31;POSITIVE
easy;21;POSITIVE
collaborate;5;POSITIVE
recruiting;3;POSITIVE
teams;24;POSITIVE
able;9;POSITIVE
tools;11;POSITIVE
whatever;4;POSITIVE
needed;4;POSITIVE
without;9;POSITIVE
huge;15;POSITIVE
budget;2;POSITIVE
restriction;2;POSITIVE
growth;55;POSITIVE
opportunities;82;POSITIVE
tech;17;POSITIVE
leadership;7;POSITIVE
management;38;POSITIVE
positions;5;POSITIVE
robust;2;POSITIVE
approaches;4;POSITIVE
software;7;POSITIVE
development;24;POSITIVE
innovative;17;POSITIVE
strong;31;POSITIVE
ecosystem;2;POSITIVE
within;12;POSITIVE
culture;64;POSITIVE
good;243;POSITIVE
monthly;4;POSITIVE
healthcare;4;POSITIVE
stipendthat;2;POSITIVE
like;42;POSITIVE
environment;100;POSITIVE
please;3;POSITIVE
find;25;POSITIVE
another;12;POSITIVE
job;31;POSITIVE
company;204;POSITIVE
rhythm;1;POSITIVE
well;40;POSITIVE
date;1;POSITIVE
smooth;5;POSITIVE
onboarding;14;POSITIVE
bonuses;18;POSITIVE
flexibility;27;POSITIVE
motivating;2;POSITIVE
challenging;20;POSITIVE
welcoming;6;POSITIVE
session;1;POSITIVE
environmentgood;2;POSITIVE
true;6;POSITIVE
operates;1;POSITIVE
agile;5;POSITIVE
great;251;POSITIVE
technology;8;POSITIVE
lots;51;POSITIVE
grow;48;POSITIVE
move;13;POSITIVE
europe;3;POSITIVE
interested;10;POSITIVE
22;1;POSITIVE
days;17;POSITIVE
pto;1;POSITIVE
generous;1;POSITIVE
amounts;2;POSITIVE
money;5;POSITIVE
allocate;1;POSITIVE
benefits;77;POSITIVE
basis;3;POSITIVE
european;3;POSITIVE
takes;3;POSITIVE
employee;10;POSITIVE
wellness;1;POSITIVE
seriously;4;POSITIVE
fast;101;POSITIVE
paced;47;POSITIVE
fosters;1;POSITIVE
personal;6;POSITIVE
professional;19;POSITIVE
exposure;17;POSITIVE
industries;1;POSITIVE
accomplished;1;POSITIVE
individuals;8;POSITIVE
salary;93;POSITIVE
schedule;9;POSITIVE
life;23;POSITIVE
balance;20;POSITIVE
product;111;POSITIVE
exciting;25;POSITIVE
amazing;43;POSITIVE
success;8;POSITIVE
overwhelming;1;POSITIVE
far;8;POSITIVE
steep;11;POSITIVE
curve;13;POSITIVE
